,Rank,Movie,World Profit,Gross,National View,Foreign Profit,International View
0,1,,"$1,698,863,816","$652,980,194",38.4%,"$1,045,883,622",61.6%
1,2,,"$1,338,073,645","$636,745,858",47.6%,"$701,327,787",52.4%
2,3,,"$1,026,899,678","$450,182,382",43.8%,"$576,717,296",56.2%
3,4,,"$969,126,452","$361,004,205",37.3%,"$608,122,247",62.7%
4,5,Domestic,"$717,365,125","$468,982,125",65.4%,"$248,383,000",34.6%
5,6,International,"$714,644,358","$282,144,358",39.5%,"$432,500,000",60.5%
6,7,Worldwide,"$627,996,941","$221,468,955",35.3%,"$406,527,986",64.7%
7,8,Calendar,"$571,850,016","$196,350,016",34.3%,"$375,500,000",65.7%
8,9,All Time,"$547,689,492","$193,590,620",35.3%,"$354,098,872",64.7%
9,10,Showdowns,"$478,796,349","$139,755,882",29.2%,"$339,040,467",70.8%
10,11,Indices,"$460,493,496","$172,393,496",37.4%,"$288,100,000",62.6%
11,12,Rank,"$451,900,435","$294,100,435",65.1%,"$157,800,000",34.9%
12,13,Worldwide,"$446,718,690","$226,218,690",50.6%,"$220,500,000",49.4%
13,14,Domestic,"$404,550,184","$193,573,217",47.8%,"$210,976,967",52.2%
14,15,%,"$397,378,150","$171,130,165",43.1%,"$226,247,985",56.9%
15,16,Foreign,"$372,262,265","$267,762,265",71.9%,"$104,500,000",28.1%
16,17,%,"$351,005,544","$148,518,266",42.3%,"$202,487,278",57.7%
17,18,Inside Out 2,"$350,865,342","$105,313,091",30%,"$245,552,251",70%
18,19,Deadpool & Wolverine,"$324,996,770","$143,887,770",44.3%,"$181,109,000",55.7%
19,20,Moana 2,"$261,786,322","$138,930,553",53.1%,"$122,855,769",46.9%
20,21,Despicable Me 4,"$234,573,690","$91,956,547",39.2%,"$142,617,143",60.8%
21,22,Wicked,"$207,500,287","$58,300,287",28.1%,"$149,200,000",71.9%
22,23,Dune: Part Two,"$201,967,521","$113,376,590",56.1%,"$88,590,931",43.9%
23,24,Mufasa: The Lion King,"$190,309,707","$111,149,917",58.4%,"$79,159,790",41.6%
24,25,Godzilla x Kong: The New Empire,"$185,900,759","$97,000,759",52.2%,"$88,900,000",47.8%
25,26,Kung Fu Panda 4,"$181,073,291","$92,900,355",51.3%,"$88,172,936",48.7%
26,27,Venom: The Last Dance,"$180,828,556","$96,893,170",53.6%,"$83,935,386",46.4%
27,28,Gladiator II,"$174,175,791","$67,475,791",38.7%,"$106,700,000",61.3%
28,29,Beetlejuice Beetlejuice,"$166,691,275","$93,337,275",56%,"$73,354,000",44%
29,30,Sonic the Hedgehog 3,"$152,720,535","$66,220,535",43.4%,"$86,500,000",56.6%
30,31,Bad Boys: Ride or Die,"$138,083,280","$68,967,012",49.9%,"$69,116,268",50.1%
31,32,Kingdom of the Planet of the Apes,"$129,364,141","$59,054,170",45.6%,"$70,309,971",54.4%
32,33,Twisters,"$127,338,048","$68,756,072",54%,"$58,581,976",46%
33,34,It Ends with Us,"$126,942,386","$74,346,140",58.6%,"$52,596,246",41.4%
34,35,Alien: Romulus,"$108,136,957",-,-,"$108,136,957",100%
35,36,The Wild Robot,"$104,793,431","$72,404,248",69.1%,"$32,389,183",30.9%
36,37,A Quiet Place: Day One,"$100,498,764","$43,817,106",43.6%,"$56,681,658",56.4%
37,38,The Garfield Movie,"$100,255,784","$7,071,622",7.1%,"$93,184,162",92.9%
38,39,Joker: Folie à Deux,"$96,221,061","$45,207,275",47%,"$51,013,786",53%
39,40,Ghostbusters: Frozen Empire,"$96,119,408","$50,119,408",52.1%,"$46,000,000",47.9%
40,41,IF,"$93,891,418","$2,310,900",2.5%,"$91,580,518",97.5%
41,42,Red One,"$88,650,412","$53,981,071",60.9%,"$34,669,341",39.1%
42,43,The Fall Guy,"$84,075,729",-,-,"$84,075,729",100%
43,44,Bob Marley: One Love,"$83,677,281","$42,777,281",51.1%,"$40,900,000",48.9%
44,45,Furiosa: A Mad Max Saga,"$82,440,640","$31,923,245",38.7%,"$50,517,395",61.3%
45,46,Nosferatu,"$80,426,848","$1,154,475",1.4%,"$79,272,373",98.6%
46,47,The Beekeeper,"$76,756,109","$36,931,420",48.1%,"$39,824,689",51.9%
47,48,Smile 2,"$76,750,950","$17,018,933",22.2%,"$59,732,017",77.8%
48,49,Transformers One,"$75,773,717","$516,521",0.7%,"$75,257,196",99.3%
49,50,Civil War,"$74,499,919","$63,281,721",84.9%,"$11,218,198",15.1%
50,51,Longlegs,"$65,100,581",-,-,"$65,100,581",100%
51,52,Detective Conan: The Million-Dollar Pentagram,"$61,512,188","$24,856,071",40.4%,"$36,656,117",59.6%
52,53,Mean Girls,"$54,768,317","$32,494,740",59.3%,"$22,273,577",40.7%
53,54,Madame Web,"$54,114,815",-,-,"$54,114,815",100%
54,55,Haikyu!! The Dumpster Battle,"$53,845,880","$20,092,802",37.3%,"$33,753,078",62.7%
55,56,Argylle,"$53,453,611","$388,067",0.7%,"$53,065,544",99.3%
56,57,Challengers,"$52,371,887","$33,626,425",64.2%,"$18,745,462",35.8%
57,58,Exhuma,"$52,270,926","$27,986,380",53.5%,"$24,284,546",46.5%
58,59,Terrifier 3,"$51,022,435","$6,178,165",12.1%,"$44,844,270",87.9%
59,60,A Little Something Extra,"$49,256,239","$18,771,004",38.1%,"$30,485,235",61.9%
60,61,Trap,"$48,166,448","$35,202,562",73.1%,"$12,963,886",26.9%
61,62,Conclave,"$48,093,906","$23,093,906",48%,"$25,000,000",52%
62,63,The Roundup: Punishment,"$46,508,940","$24,692,924",53.1%,"$21,816,016",46.9%
63,64,Speak No Evil,"$44,354,825","$17,657,658",39.8%,"$26,697,167",60.2%
64,65,The Substance,"$43,787,034","$28,009,161",64%,"$15,777,873",36%
65,66,The Count of Monte-Cristo,"$42,791,449","$25,867,515",60.5%,"$16,923,934",39.5%
66,67,A Complete Unknown,"$42,247,783","$20,532,222",48.6%,"$21,715,561",51.4%
67,68,Paddington in Peru,"$40,856,831","$25,049,006",61.3%,"$15,807,825",38.7%
68,69,Kraven the Hunter,"$40,392,664","$29,123,632",72.1%,"$11,269,032",27.9%
69,70,Night Swim,"$40,262,167","$40,048,808",99.5%,"$213,359",0.5%
70,71,Kingdom 4: Return of the Great General,"$38,735,702","$29,035,702",75%,"$9,700,000",25%
71,72,The First Omen,"$38,494,487","$15,207,563",39.5%,"$23,286,924",60.5%
72,73,"I, the Executioner","$37,164,152",-,-,"$37,164,152",100%
73,74,Coraline 15th Anniversary,"$36,917,580","$27,155,912",73.6%,"$9,761,668",26.4%
74,75,Heretic,"$36,148,740","$21,746,895",60.2%,"$14,401,845",39.8%
75,76,Back to Black,"$36,038,764",-,-,"$36,038,764",100%
76,77,Tarot,"$35,929,152",-,-,"$35,929,152",100%
77,78,The Strangers: Chapter 1,"$35,340,015","$15,671,307",44.3%,"$19,668,708",55.7%
78,79,Blink Twice,"$35,271,631","$25,116,955",71.2%,"$10,154,676",28.8%
79,80,We Live in Time,"$34,632,532","$15,068,368",43.5%,"$19,564,164",56.5%
80,81,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,"$33,525,023",-,-,"$33,525,023",100%
81,82,Imaginary,"$33,399,912",-,-,"$33,399,912",100%
82,83,Abigail,"$33,371,404","$19,071,404",57.1%,"$14,300,000",42.9%
83,84,Fly Me to the Moon,"$32,978,510","$15,482,668",46.9%,"$17,495,842",53.1%
84,85,Arthur the King,"$32,227,855","$17,640,924",54.7%,"$14,586,931",45.3%
85,86,The Forge,"$32,224,616","$5,041,781",15.6%,"$27,182,835",84.4%
86,87,The Best Christmas Pageant Ever,"$30,921,217","$900,305",2.9%,"$30,020,912",97.1%
87,88,Horizon: An American Saga - Chapter 1,"$30,917,972",-,-,"$30,917,972",100%
88,89,Interstellar 2024 Re-release,"$30,864,331",-,-,"$30,864,331",100%
89,90,Last Mile,"$30,107,173","$30,047,417",99.8%,"$59,756",0.2%
90,91,Babygirl,"$29,715,044","$20,535,053",69.1%,"$9,179,991",30.9%
91,92,The Bikeriders,"$29,686,991",-,-,"$29,686,991",100%
92,93,Mobile Suit Gundam SEED Freedom,"$29,663,607",-,-,"$29,663,607",100%
93,94,Beating Hearts,"$28,021,756",-,-,"$28,021,756",100%
94,95,Immaculate,"$27,219,729","$5,008,179",18.4%,"$22,211,550",81.6%
95,96,Monkey Man,"$25,331,842","$18,289,575",72.2%,"$7,042,267",27.8%
96,97,Anora,"$25,090,994",-,-,"$25,090,994",100%
97,98,Cells at Work!,"$25,000,869",-,-,"$25,000,869",100%
98,99,Doraemon the Movie: Nobita's Earth Symphony,"$24,800,000",-,-,"$24,800,000",100%
99,100,The Watchers,"$24,168,449",-,-,"$24,168,449",100%
100,101,Borderlands,"$24,109,036","$9,275,659",38.5%,"$14,833,377",61.5%
101,102,Harold and the Purple Crayon,"$23,895,596",-,-,"$23,895,596",100%
102,103,My Hero Academia: You're Next,"$23,438,270","$2,005,488",8.6%,"$21,432,782",91.4%
103,104,Harbin,"$22,881,613","$2,625,000",11.5%,"$20,256,613",88.5%
104,105,Pilot,"$22,057,160","$15,097,632",68.4%,"$6,959,528",31.6%
105,106,A Strange House,"$22,020,338","$546,879",2.5%,"$21,473,459",97.5%
106,107,Reagan,"$21,847,529","$13,000,000",59.5%,"$8,847,529",40.5%
107,108,The Ministry of Ungentlemanly Warfare,"$21,714,524",-,-,"$21,714,524",100%
